"Image Name","PID","Session Name","Session#","Mem Usage","Status","User Name","CPU Time","Window Title"
"System Idle Process","0","Services","0","8 K","Unknown","NT AUTHORITY\SYSTEM","799:59:14","N/A"
"System","4","Services","0","4,464 K","Unknown","N/A","2:29:06","N/A"
"Registry","160","Services","0","46,776 K","Unknown","NT AUTHORITY\SYSTEM","0:00:03","N/A"
"smss.exe","640","Services","0","368 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"csrss.exe","984","Services","0","2,228 K","Unknown","NT AUTHORITY\SYSTEM","0:00:07","N/A"
"wininit.exe","8","Services","0","764 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"csrss.exe","956","Console","1","3,592 K","Running","NT AUTHORITY\SYSTEM","0:01:33","N/A"
"winlogon.exe","1088","Console","1","4,404 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"services.exe","1112","Services","0","5,944 K","Unknown","NT AUTHORITY\SYSTEM","0:01:30","N/A"
"lsass.exe","1160","Services","0","15,960 K","Unknown","NT AUTHORITY\SYSTEM","0:04:16","N/A"
"svchost.exe","1284","Services","0","32,912 K","Unknown","NT AUTHORITY\SYSTEM","0:06:23","N/A"
"WUDFHost.exe","1312","Services","0","10,604 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:02","N/A"
"fontdrvhost.exe","1324","Console","1","4,388 K","Unknown","Font Driver Host\UMFD-1","0:00:01","N/A"
"fontdrvhost.exe","1320","Services","0","692 K","Unknown","Font Driver Host\UMFD-0","0:00:00","N/A"
"svchost.exe","1456","Services","0","18,440 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:04:25","N/A"
"WUDFHost.exe","1512","Services","0","1,752 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","1572","Services","0","3,988 K","Unknown","NT AUTHORITY\SYSTEM","0:00:49","N/A"
"dwm.exe","1648","Console","1","113,900 K","Running","Window Manager\DWM-1","0:49:43","DWM Notification Window"
"svchost.exe","1808","Services","0","2,684 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"svchost.exe","1820","Services","0","6,576 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:14","N/A"
"svchost.exe","1976","Services","0","6,248 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:06","N/A"
"svchost.exe","2028","Services","0","15,936 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:01:36","N/A"
"svchost.exe","2036","Services","0","8,956 K","Unknown","NT AUTHORITY\SYSTEM","0:00:19","N/A"
"svchost.exe","2060","Services","0","4,676 K","Unknown","NT AUTHORITY\SYSTEM","0:00:03","N/A"
"svchost.exe","2068","Services","0","4,128 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2076","Services","0","4,828 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","2160","Services","0","5,380 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:37","N/A"
"IntelCpHDCPSvc.exe","2200","Services","0","1,276 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2216","Services","0","2,240 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2284","Services","0","6,924 K","Unknown","NT AUTHORITY\SYSTEM","0:00:25","N/A"
"svchost.exe","2360","Services","0","1,808 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2384","Services","0","3,652 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:01","N/A"
"svchost.exe","2464","Services","0","6,056 K","Unknown","NT AUTHORITY\NETWORK SERVICE","0:05:37","N/A"
"svchost.exe","2640","Services","0","3,876 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:17","N/A"
"svchost.exe","2712","Services","0","3,912 K","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/A"
"svchost.exe","2752","Services","0","2,588 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","2764","Services","0","1,464 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"igfxCUIServiceN.exe","2928","Services","0","2,516 K","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/A"
"svchost.exe","3172","Services","0","9,892 K","Unknown","NT AUTHORITY\SYSTEM","0:03:43","N/A"
